query,intent
how's everything,greeting
how are things going,greeting
"hello, anyone there",greeting
are you okay right now,greeting
are you doing okay,greeting
how's it going right now,greeting
ahoy hoy,greeting
hey there!,greeting
how is everything with you,greeting
hey hey!,greeting
how have you been doing,greeting
it's nice to see you,greeting
hello there!,greeting
how is it going,greeting
how are things with you,greeting
hiya!,greeting
what's up,greeting
how're you doing,greeting
it's good to see you,greeting
is everything going okay,greeting
how is everything going,greeting
how goes it,greeting
"hello, dearbot",greeting
"hey, dearbot",greeting
"wake up, dearbot",greeting
good day,greeting
greetings to you,greeting
"hello, friend",greeting
whats up with you,greeting
hey there fellow,greeting
whats up,greeting
"yo, hows it going",greeting
how are things for you,greeting
are things going well for you,greeting
hello siri,greeting
hi there alexa,greeting
"how are you doing, dearbot",greeting
dearbot how are you doing today,greeting
"how are you doing today, dearbot",greeting
how is my dearbot doing,greeting
dearbot how are you doing on this fine day,greeting
heller,greeting
so how is everything,greeting
how are you this day,greeting
hi how are you,greeting
how is everything going for you,greeting
hi how is everything,greeting
well hello,greeting
just wanted to say hi,greeting
how is your day,greeting
why hello,greeting
are you well,greeting
hola,greeting
good to see you,greeting
how've you been feeling,greeting
how are things,greeting
are you doing well,greeting
good evening,greeting
yo,greeting
"dearbot, how are you feeling",greeting
how is the dearbot doing,greeting
"dearbot, how are you doing",greeting
hi dearbot,greeting
have you been good,greeting
is everything ok with you,greeting
how have you been,greeting
are you doing ok,greeting
how are you,greeting
how's life,greeting
what's up with you,greeting
what's going on,greeting
how's it going with you,greeting
how's ife treating you,greeting
hello how's it going,greeting
how are you today,greeting
can you tell me how you're doing today,greeting
how are you this fine day,greeting
how are things treating you,greeting
aloha,greeting
are you feeling okay,greeting
how do you feel,greeting
bonjour,greeting
how are things going for you,greeting
what do you feel like doing,greeting
"hello, what's up",greeting
hey how's life,greeting
hi there,greeting
hey how's it hanging,greeting
tell me how you've been,greeting
how is life treating you,greeting
"hi there, how are things",greeting
"hello, how are you",greeting
"hey, how's it going",greeting
"hello, are you doing alright",greeting
hi! are you doing okay,greeting
what's happening,greeting
hey what's up,greeting
"why, hello bandit",greeting
"howdy, what's new",greeting
salutations!,greeting
"please cancel what you are doing, i've changed my mind",cancel
"never mind, cancel that",cancel
"stop working on it, i need something else",cancel
"cancel",cancel
"forget it, i do not need it anymore",cancel
cancel that last thing,cancel
stop,cancel
stop and go back,cancel
dearbot stop talking,cancel
quiet now,cancel
shhhh,cancel
how do i make you stop talking,cancel
can you be quiet please,cancel
please stop doing what i asked,cancel
please be quiet,cancel
i would like you to stop what you were doing,cancel
please cancel that last command,cancel
can you stop what you were doing,cancel
can you stop,cancel
shut up!,cancel
i need you to stop talking now,cancel
i want you to quit the action,cancel
discontinue please,cancel
i don't want you to speak any more for now,cancel
discontinue your current task,cancel
abort please,cancel
quit the current action please,cancel
forget my previous command,cancel
abort the current action,cancel
actually forget that i don't need it,cancel
quit what you are doing,cancel
"sorry, you can actually stop that",cancel
"i actually don't want this anymore, please abort",cancel
please cancel your present task,cancel
"that's enough, don't say anymore please",cancel
i want you to stop your present action,cancel
stop talking please,cancel
"what you are doing is not actually helpful, please cancel the action",cancel
please stop,cancel
cancel action,cancel
please cancel the input,cancel
"dearbot, stop talking",cancel
"dearbot, shut up",cancel
"dearbot, stop!",cancel
please be quiet now,cancel
terminate,cancel
halt,cancel
would you stop talking please,cancel
please abandon the current job,cancel
please abort the current task,cancel
terminate current process,cancel
i want you to cancel the current action,cancel
abort,cancel
please stop doing that,cancel
abort running program,cancel
don't continue with what you're doing,cancel
oh shut the hell up would you,cancel
destroy process,cancel
please cancel that last task,cancel
please refrain from carrying out the current task,cancel
"dearbot, cancel that last request",cancel
do not complete the task that i gave you,cancel
"dearbot, please stop your current task",cancel
"actually, cancel that command",cancel
"nevermind, forget that",cancel
"actually, stop it",cancel
forget it,cancel
cancel that,cancel
don't do this process,cancel
undo,cancel
cancel current process,cancel
undo this process,cancel
just shut up,cancel
stop that,cancel
cancel that input,cancel
"never mind, dont want to do anything anymore",cancel
never mind,cancel
stop doing that,cancel
halt that immediately,cancel
stop the process happening now,cancel
oops cancel that,cancel
can you stop,cancel
could you stop talking for a second,cancel
could you stop please,cancel
can you switch off,cancel
can you stop speaking,cancel
can you please cancel,cancel
can you end the task,cancel
scratch,cancel
refrain from talking,cancel
halt the process,cancel
no more talking,cancel
i advise you to quit talking,cancel
yep,yes
that is affirmative,yes
what you just said is true,yes
that is not false,yes
that is a fact,yes
i agree with the truth of what you just said,yes
i believe what you just said is true,yes
that would be great,yes
that would be awesome,yes
that is totally true,yes
oh yes,yes
yes that is right,yes
that is a yes,yes
that seems true,yes
positive,yes
TRUE,yes
very true,yes
that will be true,yes
that appears true,yes
that is true,yes
it is true,yes
that is right,yes
that statement was correct,yes
i think that's true,yes
that is accurate,yes
"yes, that is it",yes
correct,yes
the answer is yes,yes
all right,yes
it's indeed true,yes
that's a yes from me,yes
yes you are correct,yes
that's a definite yes,yes
yes that's it,yes
i vote yes,yes
that is correct,yes
"yes, that is true",yes
"yep, that's right",yes
yeah that's what i want,yes
you got it,yes
"yeah that's right, so true",yes
true is my response,yes
"yes, that's affirmative",yes
"yes, you got it",yes
absolutely!,yes
do that,yes
absolutely correct,yes
confirm,yes
"yes, i'd really like that alot",yes
"agreed, that's valid",yes
"affirmative, go ahead",yes
yes that's correct,yes
"yeah, that's how it is",yes
"yeah, that's right",yes
of course,yes
that's the truth,yes
exactly right,yes
